,GeoPoint,Shape,x,y,node,xyGPS,xGPS,yGPS
LV0,"7783116.36356, 1595652.29275","[1595652.2927420116, 7783116.363557937]",1595652.29275,7783116.36356,N2588,"(1.673517452004454, 45.244260297290552)",1.673517452004454,45.24426029729055
LV1,"7771716.8535, 1592063.66197","[1592063.661970298, 7771716.853502749]",1592063.66197,7771716.8535,N2589,"(1.6305218907045911, 45.141342934890218)",1.630521890704591,45.14134293489022
LV2,"7757145.61237, 1595036.12703","[1595036.127036715, 7757145.612370961]",1595036.12703,7757145.61237,N2590,"(1.6714632639044407, 45.011010675689811)",1.6714632639044407,45.01101067568981
LV3,"7756986.43188, 1595898.42882","[1595898.4288135637, 7756986.431878411]",1595898.42882,7756986.43188,N2591,"(1.6824102553044049, 45.009716706389796)",1.682410255304405,45.009716706389796
LV4,"7757626.09079, 1594499.08052","[1594499.0805195328, 7757626.090791264]",1594499.08052,7757626.09079,N2592,"(1.664560249904466, 45.015239102689833)",1.664560249904466,45.01523910268983
LV5,"7759759.20261, 1594476.68216","[1594476.6821594567, 7759759.202613177]",1594476.68216,7759759.20261,N2593,"(1.6638015868044695, 45.034383671289881)",1.6638015868044695,45.03438367128988
LV6,"7757713.43913, 1595087.57529","[1595087.5752935745, 7757713.439132516]",1595087.57529,7757713.43913,N2594,"(1.6719886040044418, 45.016115866889798)",1.6719886040044418,45.0161158668898
LV7,"7765721.85983, 1593916.99118","[1593916.9911762276, 7765721.859825089]",1593916.99118,7765721.85983,N2595,"(1.6553787563045008, 45.087821233390045)",1.6553787563045008,45.087821233390045
LV8,"7760063.05124, 1594316.88311","[1594316.8831131842, 7760063.051235339]",1594316.88311,7760063.05124,N2596,"(1.6617107165044767, 45.037085958889911)",1.6617107165044767,45.03708595888991
LV9,"7763636.9977, 1593156.89313","[1593156.8931306868, 7763636.997703622]",1593156.89313,7763636.9977,N2597,"(1.646217611204531, 45.068984037589985)",1.646217611204531,45.068984037589985
LV10,"7761311.63205, 1594108.84806","[1594108.8480601727, 7761311.632052916]",1594108.84806,7761311.63205,N2598,"(1.6587975631044884, 45.048261205189917)",1.6587975631044884,45.04826120518992
LV11,"7762466.62803, 1594156.3334","[1594156.333400469, 7762466.62802626]",1594156.3334,7762466.62803,N2599,"(1.6591405220044877, 45.058636960889963)",1.6591405220044877,45.05863696088996
LV12,"7763890.12415, 1592035.78704","[1592035.787044603, 7763890.124148489]",1592035.78704,7763890.12415,N2600,"(1.6319576231045796, 45.071075906290027)",1.6319576231045796,45.07107590629003
LV13,"7779431.1291, 1597144.19278","[1597144.1927795392, 7779431.129097492]",1597144.19278,7779431.1291,N2601,"(1.6932852075043856, 45.211405131290448)",1.6932852075043856,45.21140513129045
LV14,"7781069.66106, 1595136.04124","[1595136.0412332166, 7781069.661057898]",1595136.04124,7781069.66106,N2602,"(1.6674127975044721, 45.225802937390483)",1.6674127975044721,45.22580293739048
